date,gos_organ,page
2014-04-20,Роскомнадзор,3
2014-04-21,суды,12
2014-04-22,суды,2
2014-04-23,Роскомнадзор,1
2014-04-24,суды,3
2014-04-25,Генпрокуратура,1
2014-04-25,ФСКН,1
2014-04-28,суды,3
2014-04-29,Генпрокуратура,2
2014-04-29,Роскомнадзор,3
2014-04-29,суды,3
2014-04-30,суды,73
2014-05-05,суды,1
2014-05-06,суды,1
2014-05-07,Генпрокуратура,1
2014-05-07,Роспотребнадзор,1
2014-05-07,суды,1
2014-05-12,суды,7
2014-05-13,Генпрокуратура,6
2014-05-14,Генпрокуратура,2
2014-05-15,Роскомнадзор,1
2014-05-15,суды,9
2014-05-16,Роскомнадзор,4
2014-05-20,суды,40
2014-05-21,Генпрокуратура,1
2014-05-21,Роскомнадзор,2
2014-05-21,суды,2
2014-05-22,Роскомнадзор,1
2014-05-22,суды,2
2014-05-23,суды,61
2014-05-26,суды,2
2014-05-27,суды,9
2014-05-28,Роспотребнадзор,5
2014-05-28,суды,2
2014-05-29,Роспотребнадзор,9
2014-05-29,ФСКН,1
2014-05-29,суды,5
2014-05-30,Генпрокуратура,1
2014-05-30,Роспотребнадзор,7
2014-05-30,ФСКН,1
2014-05-30,суды,5
2014-06-02,суды,2
2014-06-03,суды,3
2014-06-04,ФСКН,1
2014-06-04,суды,4
2014-06-06,Роскомнадзор,1
2014-06-06,суды,4
2014-06-09,ФСКН,1
2014-06-11,ФСКН,1
2014-06-16,суды,7
2014-06-17,Роскомнадзор,1
2014-06-17,суды,29
2014-06-18,суды,1
2014-06-19,ФСКН,1
2014-06-19,суды,1
2014-06-20,ФСКН,1
2014-06-23,Генпрокуратура,1
2014-06-23,суды,12
2014-06-24,Роскомнадзор,1
2014-06-25,Генпрокуратура,1
2014-06-25,суды,31
2014-06-26,суды,39
2014-06-27,суды,4
2014-06-30,Генпрокуратура,1
2014-06-30,суды,96
2014-07-01,суды,4
2014-07-02,Генпрокуратура,1
2014-07-02,суды,1
2014-07-03,Генпрокуратура,1
2014-07-03,суды,1
2014-07-04,Генпрокуратура,1
2014-07-04,суды,3
2014-07-07,Генпрокуратура,1
2014-07-07,Роскомнадзор,1
2014-07-07,суды,4
2014-07-09,суды,62
2014-07-10,суды,106
2014-07-11,Генпрокуратура,1
2014-07-11,суды,1
2014-07-15,Генпрокуратура,1
2014-07-15,Роскомнадзор,1
2014-07-15,суды,2
2014-07-16,Генпрокуратура,1
2014-07-16,Роскомнадзор,4
2014-07-16,суды,1
2014-07-17,ФСКН,8
2014-07-18,Генпрокуратура,4
2014-07-18,суды,3
2014-07-21,Генпрокуратура,1
2014-07-21,ФСКН,2
2014-07-21,суды,3
2014-07-22,суды,1
2014-07-23,суды,9
2014-07-24,суды,1
2014-07-25,Генпрокуратура,1
2014-07-25,суды,7
2014-07-28,суды,1
2014-07-29,Генпрокуратура,1
2014-07-29,Роскомнадзор,1
2014-07-30,Генпрокуратура,1
2014-07-30,Роспотребнадзор,9
2014-07-30,ФСКН,2
2014-07-30,суды,11
2014-07-31,Генпрокуратура,1
2014-07-31,Роспотребнадзор,2
2014-07-31,суды,13
2014-08-01,Генпрокуратура,9
2014-08-01,Роскомнадзор,11
2014-08-01,суды,3
2014-08-02,Генпрокуратура,2
2014-08-03,Генпрокуратура,1
2014-08-04,Генпрокуратура,3
2014-08-05,Генпрокуратура,1
2014-08-05,ФСКН,1
2014-08-05,суды,20
2014-08-06,Роскомнадзор,1
2014-08-07,Генпрокуратура,2
2014-08-07,суды,62
2014-08-08,суды,2
2014-08-11,Роскомнадзор,50
2014-08-11,ФСКН,2
2014-08-12,Генпрокуратура,1
